title,average_rating,number_of_reviews,price,availability,category,publication_year
Mastering the Data Paradox: Key to Winning in the AI Age,4.8,487.0,17..09,In Stock,Expert Systems,"Publisher
                                    ‏
                                    :
                                    ‎
                                 Penguin Random House India Pvt. Ltd (April 10, 2024)"
Data Engineering with AWS: Acquire the skills to design and build AWS-based data transformation pipelines like a pro,4.3,43.0,24..96,In Stock,Data Modeling & Design,"Publisher
                                    ‏
                                    :
                                    ‎
                                 Packt Publishing; 2nd ed. edition (October 31, 2023)"
"Cracking the Data Engineering Interview: Land your dream job with the help of resume-building tips, over 100 mock questions, and a unique portfolio",4.0,10.0,26..35,In Stock,Data Modeling & Design,"Publisher
                                    ‏
                                    :
                                    ‎
                                 Packt Publishing (November 7, 2023)"
"Hands-On Data Engineering with R, Python and PostgreSQL",Previous,,69..99,In Stock,Data Processing,"Publisher
                                    ‏
                                    :
                                    ‎
                                 Independently published (December 14, 2024)"
Fundamentals of Data Engineering: Plan and Build Robust Data Systems,4.7,664.0,43..99,In Stock,Data Modeling & Design,"Publisher
                                    ‏
                                    :
                                    ‎
                                 O'Reilly Media; 1st edition (July 26, 2022)"
"Designing Data-Intensive Applications: The Big Ideas Behind Reliable, Scalable, and Maintainable Systems",4.8,5119.0,23..65,In Stock,Data Modeling & Design,"Publisher
                                    ‏
                                    :
                                    ‎
                                 O'Reilly Media; 1st edition (April 2, 2017)"
Data Engineering with AWS: Acquire the skills to design and build AWS-based data transformation pipelines like a pro,4.3,43.0,24..96,In Stock,Data Modeling & Design,"Publisher
                                    ‏
                                    :
                                    ‎
                                 Packt Publishing; 2nd ed. edition (October 31, 2023)"
Mastering the Data Paradox: Key to Winning in the AI Age,4.8,487.0,17..09,In Stock,Expert Systems,"Publisher
                                    ‏
                                    :
                                    ‎
                                 Penguin Random House India Pvt. Ltd (April 10, 2024)"
Data Engineering with AWS: Acquire the skills to design and build AWS-based data transformation pipelines like a pro,4.3,43.0,24..96,In Stock,Data Modeling & Design,"Publisher
                                    ‏
                                    :
                                    ‎
                                 Packt Publishing; 2nd ed. edition (October 31, 2023)"
"Data Engineering with dbt: A practical guide to building a cloud-based, pragmatic, and dependable data platform with SQL",4.7,20.0,37..20,In Stock,Data Modeling & Design,"Publisher
                                    ‏
                                    :
                                    ‎
                                 Packt Publishing (June 30, 2023)"
"Fundamentals of Data Analytics: Learn Essential Skills, Embrace the Future, and Catapult Your Career in the Data-Driven World—A Comprehensive Guide to Data Literacy for Beginners (Fundamentals Series)",4.7,139.0,17..09,In Stock,Data Modeling & Design,"Publisher
                                    ‏
                                    :
                                    ‎
                                 Independently published (November 25, 2023)"
"Ace the Data Science Interview: 201 Real Interview Questions Asked By FAANG, Tech Startups, & Wall Street",4.5,1151.0,42..75,In Stock,Neural Networks,"Publisher
                                    ‏
                                    :
                                    ‎
                                 Ace the Data Science Interview (August 16, 2021)"
AI Engineering: Building Applications with Foundation Models,4.6,56.0,67..97,In Stock,Intelligence & Semantics,"Publisher
                                    ‏
                                    :
                                    ‎
                                 O'Reilly Media; 1st edition (January 7, 2025)"
Data Pipelines Pocket Reference: Moving and Processing Data for Analytics,4.6,378.0,17..29,In Stock,Data Modeling & Design,"Publisher
                                    ‏
                                    :
                                    ‎
                                 O'Reilly Media; 1st edition (March 16, 2021)"
Data Engineering Best Practices: Architect robust and cost-effective data solutions in the cloud era,5.0,3.0,39..99,In Stock,Data Modeling & Design,"Publisher
                                    ‏
                                    :
                                    ‎
                                 Packt Publishing (October 11, 2024)"
Financial Data Engineering: Design and Build Data-Driven Financial Products,5.0,6.0,60..67,In Stock,Financial Services,"Publisher
                                    ‏
                                    :
                                    ‎
                                 O'Reilly Media; 1st edition (November 12, 2024)"
Data Engineering Design Patterns: Recipes for Solving the Most Common Data Engineering Problems,Previous,,79..99,This title has not yet been released.,Software Development,"Publisher
                                    ‏
                                    :
                                    ‎
                                 O'Reilly Media; 1st edition (June 3, 2025)"
"The Data Engineering Handbook: We are Data Engineers, we make things happen, we pull rabbits out of hats, and transform raw, noisy data into gold.",5.0,2.0,9..99,In Stock,Performance Optimization,"Publisher
                                    ‏
                                    :
                                    ‎
                                 Independently published (October 17, 2024)"
Storytelling with Data: A Data Visualization Guide for Business Professionals,4.6,4981.0,26..99,In Stock,Information Management,"Publisher
                                    ‏
                                    :
                                    ‎
                                 Wiley; 1st edition (November 2, 2015)"
"Data Engineering with Databricks Cookbook: Build effective data and AI solutions using Apache Spark, Databricks, and Delta Lake",4.4,14.0,39..99,In Stock,Data Modeling & Design,"Publisher
                                    ‏
                                    :
                                    ‎
                                 Packt Publishing (May 31, 2024)"
"Cracking the Data Engineering Interview: Land your dream job with the help of resume-building tips, over 100 mock questions, and a unique portfolio",4.0,10.0,26..35,In Stock,Data Modeling & Design,"Publisher
                                    ‏
                                    :
                                    ‎
                                 Packt Publishing (November 7, 2023)"
Data Engineering on Azure,4.5,13.0,43..74,Unavailable,Data in the Enterprise,"Publisher
                                    ‏
                                    :
                                    ‎
                                 Manning (August 17, 2021)"
Managing Data as a Product: Design and build data-product-centered socio-technical architectures,4.4,3.0,44..99,In Stock,Data Modeling & Design,"Publisher
                                    ‏
                                    :
                                    ‎
                                 Packt Publishing (November 29, 2024)"
Data Engineering with Alteryx: Helping data engineers apply DataOps practices with Alteryx,4.3,13.0,31..39,In Stock,Business Intelligence Tools,"Publisher
                                    ‏
                                    :
                                    ‎
                                 Packt Publishing (June 30, 2022)"
"Getting Started with DuckDB: A practical guide for accelerating your data science, data analytics, and data engineering workflows",3.4,3.0,35..19,In Stock,Data Modeling & Design,"Publisher
                                    ‏
                                    :
                                    ‎
                                 Packt Publishing (June 24, 2024)"
"Ace the Data Science Interview: 201 Real Interview Questions Asked By FAANG, Tech Startups, & Wall Street",4.5,1151.0,42..75,In Stock,Neural Networks,"Publisher
                                    ‏
                                    :
                                    ‎
                                 Ace the Data Science Interview (August 16, 2021)"
Data Engineering with Python: Work with massive datasets to design data models and automate data pipelines using Python,4.1,143.0,37..99,In Stock,Data Modeling & Design,"Publisher
                                    ‏
                                    :
                                    ‎
                                 Packt Publishing (October 23, 2020)"
"Data-Driven Science and Engineering: Machine Learning, Dynamical Systems, and Control",4.8,111.0,60..59,In Stock,Control Systems,"Publisher
                                    ‏
                                    :
                                    ‎
                                 Cambridge University Press; 2nd edition (July 28, 2022)"
"Data Engineering with dbt: A practical guide to building a cloud-based, pragmatic, and dependable data platform with SQL",4.7,20.0,37..20,In Stock,Data Modeling & Design,"Publisher
                                    ‏
                                    :
                                    ‎
                                 Packt Publishing (June 30, 2023)"
"Data Engineering with dbt: A practical guide to building a cloud-based, pragmatic, and dependable data platform with SQL",4.7,20.0,37..20,In Stock,Data Modeling & Design,"Publisher
                                    ‏
                                    :
                                    ‎
                                 Packt Publishing (June 30, 2023)"
